t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
   0.000, 0.000, -0.437435, -0.078743, -0.008246,0.436258337,0.431607869,0.004650467,0.172978853,0.172962543,0.004425384,0.000016310,0.369911847,0.369871393,0.020277322,0.000040454,0.950662450,0.950619815,0.030012183,0.000042634,1.435030118,1.435007458,0.021739266,0.000022660,5.342595675,5.342128349,1.065479593,0.000467326,10.105517413,10.105128156,1.307911803,0.000389257,19.939571543,19.939402009,1.405740739,0.000169534,30.327633954,30.327469353,2.327593230,0.000164601,0.544129074,0.444541981,0.183021,  0.401108, 0.945758391,  15.8,   6.5, 183.9, 360.0,-1.122410E-04,3.534892E-03,   ,
 100.100, 0.004, +0.577601, +0.197560, +0.039282,0.603877759,0.599227292,0.004650467,0.369420078,0.369403768,0.004425363,0.000016310,0.946494710,0.946454256,0.020277214,0.000040454,1.471928848,1.471886214,0.030012433,0.000042634,0.838369568,0.838346907,0.021739474,0.000022660,6.056445770,6.055978444,1.065383384,0.000467326,9.379692074,9.379302817,1.308502819,0.000389257,18.717639567,18.717470033,1.405528955,0.000169534,30.912602631,30.912438030,2.327634689,0.000164601,0.532060361,0.450783870,0.152758,  0.387838, 0.950816379,  15.8,   5.8, 183.8, 189.8,-1.122410E-04,3.534892E-03,   ,
 200.200, 0.007, -0.329504, -0.292838, -0.074207,0.444951671,0.440301204,0.004650467,0.405135743,0.405119433,0.004425341,0.000016310,1.114378395,1.114337941,0.020277485,0.000040454,0.685105062,0.685062427,0.030012599,0.000042634,1.897880306,1.897857646,0.021738583,0.000022660,5.286962800,5.286495474,1.065530906,0.000467326,9.784436197,9.784046940,1.307558674,0.000389257,17.954647606,17.954478072,1.405754901,0.000169534,30.210449690,30.210285089,2.327724600,0.000164601,0.525540642,0.440215472,0.162357,  0.380731, 0.949283460,  15.8,   5.2, 190.5,  27.0,-1.122410E-04,3.534892E-03,   ,
 300.300, 0.005, +0.474295, +0.349433, +0.086859,0.594221731,0.589571264,0.004650467,0.900329948,0.900313637,0.004425357,0.000016310,1.199239378,1.199198924,0.020277276,0.000040454,1.595603943,1.595561309,0.030012206,0.000042634,2.030376233,2.030353573,0.021740720,0.000022660,5.762483238,5.762015912,1.065420938,0.000467326,8.582130753,8.581741496,1.308541976,0.000389257,19.627635336,19.627465801,1.405814833,0.000169534,30.318059993,30.317895391,2.327672077,0.000164601,0.522020491,0.436347722,0.164118,  0.376912, 0.949181212,  15.8,   5.0, 186.0, 206.4,-1.122410E-04,3.534892E-03,   ,
 400.400, 0.006, -0.131841, -0.430426, -0.119196,0.469789936,0.465139469,0.004650467,0.628513653,0.628497342,0.004425365,0.000016310,0.862870663,0.862830209,0.020277327,0.000040454,0.573857979,0.573815345,0.030012263,0.000042634,1.178834114,1.178811454,0.021738206,0.000022660,4.852135114,4.851667788,1.065393485,0.000467326,9.395649451,9.395260194,1.308735008,0.000389257,20.003907519,20.003737985,1.405751895,0.000169534,30.245974848,30.245810246,2.327825364,0.000164601,0.509549048,0.430791548,0.154563,  0.363486, 0.950240170,  15.9,   4.5, 185.4,  63.9,-1.122410E-04,3.534892E-03,   ,
 500.501, 0.010, +0.317150, +0.458008, +0.122771,0.574899012,0.570248545,0.004650467,1.030716166,1.030699855,0.004425366,0.000016310,0.214773901,0.214733447,0.020277283,0.000040454,1.423055529,1.423012895,0.030012640,0.000042634,1.620088917,1.620066256,0.021739854,0.000022660,5.036620163,5.036152837,1.065564726,0.000467326,9.714926269,9.714537012,1.307829327,0.000389257,19.305045318,19.304875783,1.405811254,0.000169534,29.458510939,29.458346338,2.327848483,0.000164601,0.512593689,0.426026548,0.168881,  0.366749, 0.948310827,  15.8,   4.2, 190.9, 221.2,-1.122410E-04,3.534892E-03,   ,
 600.601, 0.004, +0.097170, -0.472120, -0.135264,0.503159574,0.498509107,0.004650467,0.812683386,0.812667075,0.004425357,0.000016310,0.456327678,0.456287224,0.020277661,0.000040454,0.744156790,0.744114156,0.030011888,0.000042634,1.787743843,1.787721183,0.021739396,0.000022660,4.808463149,4.807995822,1.065518719,0.000467326,9.530998861,9.530609604,1.308250797,0.000389257,19.289640909,19.289471375,1.405492848,0.000169534,30.069862878,30.069698277,2.327948754,0.000164601,0.514171872,0.427107526,0.169329,  0.368444, 0.948302673,  15.8,   4.1, 186.4,  90.8,-1.122410E-04,3.534892E-03,   ,
 700.701, 0.009, +0.126717, +0.509786, +0.141260,0.547173906,0.542523438,0.004650467,0.871622504,0.871606194,0.004425357,0.000016310,1.184056285,1.184015831,0.020277354,0.000040454,1.048070988,1.048028354,0.030012043,0.000042634,1.336011900,1.335989240,0.021738869,0.000022660,4.530670728,4.530203402,1.065597332,0.000467326,10.535707495,10.535318238,1.307692813,0.000389257,18.397690601,18.397521067,1.405632983,0.000169534,29.358248425,29.358083824,2.327974051,0.000164601,0.513895993,0.428127335,0.166899,  0.368147, 0.948890881,  15.8,   3.8, 192.2, 240.7,-1.122410E-04,3.534892E-03,   ,
 800.801, 0.007, +0.306048, -0.421406, -0.123986,0.537743525,0.533093058,0.004650467,0.703326273,0.703309962,0.004425354,0.000016310,1.243267645,1.243227191,0.020277192,0.000040454,1.103152140,1.103109506,0.030012713,0.000042634,1.929781130,1.929758470,0.021739944,0.000022660,5.366761509,5.366294183,1.065670787,0.000467326,9.322870271,9.322481014,1.307351640,0.000389257,18.667396414,18.667226879,1.405496560,0.000169534,29.602439392,29.602274791,2.328012526,0.000164601,0.515367757,0.427401559,0.170686,  0.369730, 0.948378930,  15.7,   3.6, 188.8, 112.5,-1.122410E-04,3.534892E-03,   ,
 900.901, 0.004, -0.083991, +0.486762, +0.137324,0.513524614,0.508874147,0.004650467,0.398434472,0.398418161,0.004425366,0.000016310,0.892442326,0.892401872,0.020277350,0.000040454,0.642500001,0.642457367,0.030012542,0.000042634,1.963271122,1.963248462,0.021738849,0.000022660,4.826619230,4.826151904,1.065606181,0.000467326,9.717505478,9.717116221,1.307676283,0.000389257,20.322880235,20.322710701,1.405699186,0.000169534,30.022482962,30.022318361,2.327897995,0.000164601,0.518052387,0.433762584,0.162705,  0.372623, 0.950163681,  15.6,   3.2, 192.1, 264.3,-1.122410E-04,3.534892E-03,   ,
1001.001, 0.011, +0.469411, -0.306413, -0.091930,0.568061684,0.563411217,0.004650467,0.443775340,0.443759030,0.004425383,0.000016310,0.647459304,0.647418850,0.020277311,0.000040454,1.445151227,1.445108592,0.030012044,0.000042634,0.964296484,0.964273823,0.021739683,0.000022660,5.907266883,5.906799557,1.065673648,0.000467326,9.223868184,9.223478927,1.307094776,0.000389257,19.691012673,19.690843139,1.405987762,0.000169534,29.498476685,29.498312084,2.327574772,0.000164601,0.520057051,0.433497046,0.166443,  0.374788, 0.949764531,  15.6,   2.9, 191.7, 131.3,-1.122410E-04,3.534892E-03,   ,
