t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
   0.000, 0.000, +0.093298, +0.099459, +0.011181,0.144438436,0.139787969,0.004650467,0.594133364,0.594117054,0.004425385,0.000016310,0.866591049,0.866550595,0.020277333,0.000040454,0.960765687,0.960723052,0.029989617,0.000042634,1.558517958,1.558495298,0.021739213,0.000022660,4.845473522,4.845006195,1.065437928,0.000467326,9.676976859,9.676587602,1.308252531,0.000389257,19.466826116,19.466656581,1.405712779,0.000169534,29.808581192,29.808416591,2.327601528,0.000164601,0.468838782,0.136827119,0.708157,  0.320807, 0.599809701,  31.8,  39.2,   8.9,   0.0,-1.122418E-04,3.534974E-03,   ,
 100.100, 0.004, -0.361998, -0.908724, -0.302344,1.026889896,1.022239428,0.004650467,1.324407170,1.324390860,0.004425364,0.000016310,1.580910893,1.580870439,0.020277194,0.000040454,0.882933301,0.882890667,0.029990301,0.000042634,2.055642642,2.055619981,0.021739485,0.000022660,4.842928039,4.842460713,1.065341877,0.000467326,9.617974295,9.617585038,1.308842755,0.000389257,19.186849810,19.186680275,1.405498792,0.000169534,29.516891636,29.516727034,2.327643008,0.000164601,0.741144380,0.145707858,0.803402,  0.637622, 0.506881248,  31.6,  38.2,  12.0, 202.3,-1.122418E-04,3.534974E-03,   ,
 200.200, 0.010, -0.809296, -1.033498, -0.199881,1.326456066,1.321805599,0.004650467,1.138461783,1.138445472,0.004425348,0.000016310,1.943821332,1.943780878,0.020277410,0.000040454,0.867269238,0.867226604,0.029989503,0.000042634,2.733924299,2.733901639,0.021738129,0.000022660,5.844550691,5.844083365,1.065491657,0.000467326,9.085635859,9.085246602,1.307890106,0.000389257,17.300738886,17.300569351,1.405729395,0.000169534,31.050969958,31.050805356,2.327732624,0.000164601,0.745331032,0.143845592,0.807004,  0.643032, 0.501938457,  31.8,  37.7,  11.9, 184.7,-1.122418E-04,3.534974E-03,   ,
 300.300, 0.006, -0.973585, -0.807451, -0.026119,1.266296730,1.261646263,0.004650467,0.934025420,0.934009110,0.004425357,0.000016310,1.020681103,1.020640649,0.020277208,0.000040454,2.027880671,2.027838036,0.029990134,0.000042634,1.512159098,1.512136438,0.021741186,0.000022660,4.857605422,4.857138096,1.065389551,0.000467326,10.402435223,10.402045966,1.308837371,0.000389257,18.460710752,18.460541217,1.405793993,0.000169534,29.820061864,29.819897262,2.327680826,0.000164601,0.743484600,0.142815932,0.807910,  0.640644, 0.501223015,  31.7,  37.8,  12.1, 170.1,-1.122418E-04,3.534974E-03,   ,
 400.400, 0.005, -0.746018, -0.264545, +0.147139,0.806459415,0.801808947,0.004650467,1.144353020,1.144336709,0.004425363,0.000016310,0.399496057,0.399455603,0.020277300,0.000040454,1.674069625,1.674026990,0.029989698,0.000042634,0.960673816,0.960651156,0.021738110,0.000022660,5.428158018,5.427690692,1.065351919,0.000467326,8.876435521,8.876046264,1.309108718,0.000389257,20.636067305,20.635897770,1.405722129,0.000169534,29.623841887,29.623677285,2.327832325,0.000164601,0.741900756,0.144882621,0.804714,  0.638598, 0.506834092,  31.4,  37.3,  12.4, 147.0,-1.122418E-04,3.534974E-03,   ,
 500.501, 0.007, +0.026164, -0.511785, -0.258547,0.570708589,0.566058122,0.004650467,0.266625958,0.266609648,0.004425368,0.000016310,1.225698881,1.225658427,0.020277188,0.000040454,1.414841612,1.414798978,0.029990331,0.000042634,1.090351553,1.090328893,0.021739557,0.000022660,5.723121799,5.722654473,1.065523233,0.000467326,9.559909203,9.559519946,1.308198160,0.000389257,20.124572055,20.124402520,1.405782821,0.000169534,29.906820999,29.906656397,2.327860909,0.000164601,0.754644221,0.142781073,0.810797,  0.655122, 0.499865181,  31.4,  37.0,  12.6, 227.3,-1.122418E-04,3.534974E-03,   ,
 600.601, 0.004, -0.563701, -1.004610, -0.284654,1.190666224,1.186015757,0.004650467,1.287255461,1.287239151,0.004425355,0.000016310,1.327618367,1.327577913,0.020277252,0.000040454,0.583428454,0.583385819,0.029989783,0.000042634,2.622405899,2.622383239,0.021739349,0.000022660,4.285761716,4.285294389,1.065475331,0.000467326,9.667544736,9.667155479,1.308663868,0.000389257,19.646129879,19.645960345,1.405440655,0.000169534,29.238500000,29.238335399,2.327957375,0.000164601,0.741093421,0.141945688,0.808465,  0.637556, 0.501970289,  31.5,  36.9,  13.1, 194.2,-1.122418E-04,3.534974E-03,   ,
 700.701, 0.007, -0.906941, -0.986598, -0.150681,1.346032492,1.341382025,0.004650467,1.454110370,1.454094059,0.004425358,0.000016310,0.641381996,0.641341542,0.020277312,0.000040454,1.231592769,1.231550135,0.029990038,0.000042634,2.327184803,2.327162143,0.021739205,0.000022660,6.261115803,6.260648477,1.065524262,0.000467326,9.007284358,9.006895101,1.308283629,0.000389257,17.391001427,17.390831893,1.405610854,0.000169534,30.886385417,30.886220816,2.327982834,0.000164601,0.746268935,0.143407392,0.807834,  0.644246, 0.503560750,  31.3,  36.8,  13.2, 179.2,-1.122418E-04,3.534974E-03,   ,
 800.801, 0.008, -0.951858, -0.634210, +0.031365,1.147213482,1.142563014,0.004650467,0.718478561,0.718462251,0.004425354,0.000016310,1.391295778,1.391255323,0.020277285,0.000040454,2.066341549,2.066298914,0.029989853,0.000042634,0.704861316,0.704838656,0.021739672,0.000022660,4.312063358,4.311596032,1.065610021,0.000467326,10.391879285,10.391490029,1.307823949,0.000389257,18.124553177,18.124383642,1.405477619,0.000169534,30.177558614,30.177394013,2.328022832,0.000164601,0.741832146,0.142163623,0.808361,  0.638509, 0.503501903,  31.2,  36.3,  13.4, 163.6,-1.122418E-04,3.534974E-03,   ,
 900.901, 0.003, -0.451720, +0.004625, +0.163962,0.480007117,0.475356650,0.004650467,0.607995368,0.607979058,0.004425363,0.000016310,1.178782951,1.178742497,0.020277354,0.000040454,1.173439950,1.173397315,0.029989878,0.000042634,1.541921672,1.541899011,0.021738836,0.000022660,5.346664878,5.346197552,1.065559531,0.000467326,9.137551919,9.137162662,1.308041172,0.000389257,20.301984675,20.301815140,1.405667073,0.000169534,29.778809626,29.778645025,2.327902264,0.000164601,0.745362327,0.141485008,0.810180,  0.643073, 0.501138274,  31.2,  36.2,  13.7, 125.2,-1.122418E-04,3.534974E-03,   ,
